global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
1,Settembre,1,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1667.5
2,Settembre,1,1,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,0,1701.0
3,Settembre,1,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1466.1
4,Settembre,1,1,4,D4,0,[],[],0,{},0,0,0,1.0,0,1,0,1627.3
5,Settembre,1,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1586.7
6,Settembre,1,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1652.8
7,Settembre,1,2,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1790.6
8,Settembre,1,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1405.8
9,Settembre,1,2,4,D4,0,[],[],0,{},0,0,0,1.6,0,1,0,1549.4
10,Settembre,1,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1640.3
11,Settembre,1,3,1,D1,0,[],[],0,{},0,0,0,1.0,0,2,0,1597.1
12,Settembre,1,3,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,1,1684.4
13,Settembre,1,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1461.0
14,Settembre,1,3,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1615.7
15,Settembre,1,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1631.3
16,Settembre,1,4,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1539.6
17,Settembre,1,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1694.6
18,Settembre,1,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1448.0
19,Settembre,1,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1534.0
20,Settembre,1,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1594.2
21,Settembre,1,5,1,D1,0,[],[],0,{},0,0,0,2.0,0,0,0,1589.8
22,Settembre,1,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1787.9
23,Settembre,1,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1421.3
24,Settembre,1,5,4,D4,0,[],[],0,{},0,0,0,1.6,0,1,1,1560.0
25,Settembre,1,5,5,D5,0,[],[],0,{},0,0,0,1.0,0,1,0,1567.7
26,Settembre,1,6,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1614.4
27,Settembre,1,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1723.2
28,Settembre,1,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,0,0,1491.5
29,Settembre,1,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1647.0
30,Settembre,1,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1672.7
31,Ottobre,2,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1634.5
32,Ottobre,2,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1720.7
33,Ottobre,2,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1441.4
34,Ottobre,2,1,4,D4,0,[],[],0,{},0,0,0,2.0,0,1,0,1675.9
35,Ottobre,2,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1616.4
36,Ottobre,2,2,1,D1,0,[],[],0,{},0,0,0,2.0,0,1,1,1673.1
37,Ottobre,2,2,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1756.3
38,Ottobre,2,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1425.2
39,Ottobre,2,2,4,D4,0,[],[],0,{},0,0,0,0.0,0,2,0,1661.7
40,Ottobre,2,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1702.4
41,Ottobre,2,3,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1542.7
42,Ottobre,2,3,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1727.1
43,Ottobre,2,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1404.9
44,Ottobre,2,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1676.0
45,Ottobre,2,3,5,D5,0,[],[],0,{},0,0,0,1.6,0,1,1,1657.2
46,Ottobre,2,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1619.2
47,Ottobre,2,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1698.0
48,Ottobre,2,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1433.7
49,Ottobre,2,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1601.5
50,Ottobre,2,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1641.4
51,Ottobre,2,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1653.3
52,Ottobre,2,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1754.9
53,Ottobre,2,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1443.7
54,Ottobre,2,5,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1652.7
55,Ottobre,2,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,2,0,1635.3
56,Ottobre,2,6,1,D1,0,[],[],0,{},0,0,0,1.0,0,0,0,1638.9
57,Ottobre,2,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1751.6
58,Ottobre,2,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1460.6
59,Ottobre,2,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1606.2
60,Ottobre,2,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1643.2
61,Novembre,3,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1581.0
62,Novembre,3,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1723.4
63,Novembre,3,1,3,D3,0,[],[],0,{},0,0,0,1.6,0,0,0,1442.2
64,Novembre,3,1,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1557.7
65,Novembre,3,1,5,D5,0,[],[],0,{},0,0,0,1.0,0,1,0,1587.5
66,Novembre,3,2,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1533.6
67,Novembre,3,2,2,D2,0,[],[],0,{},0,0,0,1.6,0,0,0,1706.8
68,Novembre,3,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1434.7
69,Novembre,3,2,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1565.3
70,Novembre,3,2,5,D5,0,[],[],0,{},0,0,0,1.6,0,0,0,1619.0
71,Novembre,3,3,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1575.5
72,Novembre,3,3,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,0,1778.1
73,Novembre,3,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1399.4
74,Novembre,3,3,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1659.7
75,Novembre,3,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1602.2
76,Novembre,3,4,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1668.3
77,Novembre,3,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1691.3
78,Novembre,3,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1436.0
79,Novembre,3,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1615.3
80,Novembre,3,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1582.3
81,Novembre,3,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1659.3
82,Novembre,3,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1639.4
