ingredient_code,ingredient_name,category,meal_occurrences,distinct_days,total_base_quantity,base_unit
olio,olio extravergine di oliva,Condimenti e dispensa,363,180,2431.0,g
pane_bianco,pane bianco comune,"Cereali, pane e derivati",75,72,3559.0,g
pasta,pasta secca,"Cereali, pane e derivati",74,74,4890.0,g
crackers,crackers classici,"Cereali, pane e derivati",71,63,1321.0,g
latte_ps,latte parzialmente scremato,Latticini e uova,68,61,13280.0,ml
yogurt_bianco,yogurt bianco naturale,Latticini e uova,64,56,7775.0,g
kefir,kefir naturale,Latticini e uova,58,58,8880.0,ml
avocado,avocado fresco,Ortofrutta,52,52,3900.0,g
riso_basmati,riso basmati secco,"Cereali, pane e derivati",50,47,2775.0,g
spinaci,spinaci,Ortofrutta,48,42,6010.0,g
carota,carote,Ortofrutta,46,42,6360.0,g
polenta,farina di mais per polenta,"Cereali, pane e derivati",46,45,2860.0,g
patata,patate,"Cereali, pane e derivati",45,44,10255.0,g
tacchino,petto di tacchino,Carne e affettati,45,44,5545.0,g
zucca,zucca,Ortofrutta,42,41,7130.0,g
pollo,petto di pollo,Carne e affettati,40,39,4775.0,g
pera,pera,Ortofrutta,40,37,5000.0,g
manzo_magro,manzo magro,Carne e affettati,40,39,5110.0,g
banana,banana,Ortofrutta,40,37,3810.0,g
pane_integrale,pane integrale,"Cereali, pane e derivati",38,34,2670.0,g
gallette_riso,gallette di riso,"Cereali, pane e derivati",37,37,836.0,g
avena,fiocchi d'avena,"Cereali, pane e derivati",36,36,1263.0,g
radicchio,radicchio,Ortofrutta,35,35,4180.0,g
semi_zucca,semi di zucca,Frutta secca e semi,34,32,322.0,g
cavolfiore,cavolfiore,Ortofrutta,34,32,4540.0,g
fette_bianche,fette biscottate classiche,"Cereali, pane e derivati",30,27,751.0,g
couscous,couscous di semola secco,"Cereali, pane e derivati",30,29,2260.0,g
tonno_naturale,tonno al naturale sgocciolato,Pesce,29,28,2330.0,g
broccoli,broccoli,Ortofrutta,29,27,4350.0,g
