global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
64,Novembre,3,1,4,D4,243,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",0,0,0,2.0,2,2,0,1587.9
82,Novembre,3,5,2,D2,243,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",2,0,2,3.6,4,0,0,1714.8
155,Febbraio,6,1,5,D5,243,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",0,0,0,0.0,2,1,0,1625.3
15,Settembre,1,3,5,D5,242,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",1,0,0,8.0,3,1,0,1624.0
55,Ottobre,2,5,5,D5,242,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",1,0,0,3.6,2,1,0,1617.1
61,Novembre,3,1,1,D1,242,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",0,0,1,6.8,3,1,0,1606.0
62,Novembre,3,1,2,D2,241,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",2,0,0,0.0,2,0,0,1677.4
112,Dicembre,4,5,2,D2,241,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",2,0,0,3.6,2,0,0,1712.7
85,Novembre,3,5,5,D5,240,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,2,3.6,2,1,0,1613.8
14,Settembre,1,3,4,D4,238,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",1,0,0,2.0,4,1,0,1605.5
54,Ottobre,2,5,4,D4,238,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",1,0,0,0.0,3,0,0,1624.5
149,Gennaio,5,6,4,D4,238,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",1,0,0,1.0,3,2,0,1581.2
173,Febbraio,6,5,3,D3,238,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",1,0,0,1.6,3,1,0,1469.5
17,Settembre,1,4,2,D2,237,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",2,0,0,3.2,5,2,0,1704.9
